code;type;group;unique;useable_as_grid_filter;allowed_extensions;metric_family;default_metric_unit;reference_data_name;available_locales;max_characters;validation_rule;validation_regexp;wysiwyg_enabled;number_min;number_max;decimals_allowed;negative_allowed;date_min;date_max;max_file_size;minimum_input_length;sort_order;localizable;scopable;labels-de_DE;labels-en_US;labels-fr_FR;labels-nl_BE;guidelines;auto_option_sorting;default_value;is_read_only;group_labels-en_US;group_labels-fr_FR;group_labels-de_DE
auto_exposure;pim_catalog_boolean;technical;0;1;;;;;;;;;;;;;;;;;;39;0;0;"Auto exposure";"Auto exposure";"Auto exposure";"Automatische belichting";;;;0;Technical;Technique;Technische
auto_focus_assist_beam;pim_catalog_boolean;technical;0;1;;;;;;;;;;;;;;;;;;34;0;0;"Auto focus beam";"Auto focus beam";"Auto focus beam";;;;;0;Technical;Technique;Technische
auto_focus_lock;pim_catalog_boolean;technical;0;1;;;;;;;;;;;;;;;;;;33;0;0;"Auto focus lock";"Auto focus lock";"Auto focus lock";;;;;0;Technical;Technique;Technische
auto_focus_modes;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;31;1;0;"Auto focus modes";"Auto focus modes";"Auto focus modes";;;;;0;Technical;Technique;Technische
auto_focus_points;pim_catalog_number;technical;0;1;;;;;;;;;;;;;;;;;;32;0;0;"Auto focus points";"Auto focus points";"Auto focus points";;;;;0;Technical;Technique;Technische
brand;pim_catalog_simpleselect;marketing;0;0;;;;;;;;;;;;;;;;;;3;0;0;Brand;Brand;Marque;;;;;0;Marketing;Marketing;Marketing
camera_brand;pim_catalog_simpleselect;technical;0;1;;;;;;;;;;;;;;;;;;21;0;0;Hersteller;Brand;Marque;;;;;0;Technical;Technique;Technische
camera_model_name;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;22;0;0;Modelname;"Model name";Modèle;;;;;0;Technical;Technique;Technische
camera_type;pim_catalog_simpleselect;technical;0;1;;;;;;;;;;;;;;;;;;10;0;0;Kamera-Typ;"Camera type";"Type d'appareil photo";;;;;0;Technical;Technique;Technische
care_instructions;pim_catalog_textarea;product;0;1;;;;;;;;;;;;;;;;;;7;0;0;"Care instructions";"Care instructions";"Instructions d'entretien";;;;;0;Product;Produit;Product
clothing_size;pim_catalog_simpleselect;size;0;1;;;;;;;;;;;;;;;;;;1;0;0;"Größe Kleidung";"Clothing size";"Taille du vêtement";;;;;0;Size;Taille;Größe
collection;pim_catalog_multiselect;marketing;0;1;;;;;;;;;;;;;;;;;;2;0;0;Collection;Collection;Collection;;;;;0;Marketing;Marketing;Marketing
color;pim_catalog_simpleselect;product;0;1;;;;;;;;;;;;;;;;;;1;0;0;Color;Color;Couleur;;;;;0;Product;Produit;Product
color_scanning;pim_catalog_boolean;technical;0;1;;;;;;;;;;;;;;;;;;3;0;0;Farbscannen;"Color scanning";"Numérisation couleur";;;;;0;Technical;Technique;Technische
composition;pim_catalog_textarea;product;0;1;;;;;;;;;;;;;;;;;;5;0;0;Composition;Composition;Composition;;;;;0;Product;Produit;Product
container_material;pim_catalog_simpleselect;manufacturing;0;1;;;;;;;;;;;;;;;;;;1;0;0;Behältermaterial;"Container material";"Matériau du récipient";;;;;0;Manufacturing;Fabrication;Herstellung
description;pim_catalog_textarea;marketing;0;1;;;;;;;;;1;;;;;;;;;3;1;1;Beschreibung;Description;Description;;;;;0;Marketing;Marketing;Marketing
display_color;pim_catalog_boolean;technical;0;1;;;;;;;;;;;;;;;;;;18;0;0;"Display Color";"Display Color";"Couleur d'affichage";;;;;0;Technical;Technique;Technische
display_diagonal;pim_catalog_metric;technical;0;1;;Length;INCH;;;;;;;;;;;;;;;19;0;0;Bildschirmdiagonale;"Display diagonal";"Taille de l'écran";;;;;0;Technical;Technique;Technische
display_srgb;pim_catalog_boolean;technical;0;1;;;;;;;;;;;;;;;;;;17;0;0;sRGB;"Display sRGB";sRGB;;;;;0;Technical;Technique;Technische
ean;pim_catalog_text;erp;1;1;;;;;;;;;;;;;;;;;;0;0;0;EAN;EAN;EAN;;;;;0;ERP;ERP;ERP
erp_name;pim_catalog_text;erp;0;1;;;;;;;;;;;;;;;;;;10;1;0;ERP-Produktname;"ERP name";"Nom ERP";;;;;0;ERP;ERP;ERP
eu_shoes_size;pim_catalog_simpleselect;product;0;1;;;;;;;;;;;;;;;;;;3;0;0;"EU Shoes Size";"EU Shoes Size";"Taille chaussures EU";;;;;0;Product;Produit;Product
focus;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;29;0;0;Fokus;Focus;"Mise au point";;;;;0;Technical;Technique;Technische
focus_adjustement;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;30;1;0;Fokus-Apassung;"Focus adjustment";"Ajustement mise au point";;;;;0;Technical;Technique;Technische
headphone_connectivity;pim_catalog_simpleselect;technical;0;1;;;;;;;;;;;;;;;;;;13;0;0;Kopfhörerausgang;"Headphone connectivity";Casque;;;;;0;Technical;Technique;Technische
hotfolder_assetcollection;pim_catalog_asset_collection;medias;0;1;;;;packshot;;;;;;;;;;;;;;0;0;0;;;;hotfolder_assetcollection;;;;;Media;Media;Media
image;pim_catalog_image;medias;0;1;png,jpeg,jpg;;;;;;;;;;;;;;;;;11;0;0;"Model bild";"Model picture";"Image du modèle";;;;;0;Media;Media;Media
image_resolutions;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;25;0;0;"Festbild Auflösung(en)";"Still image resolution(s)";"Résolution de la capture Photo";;;;;0;Technical;Technique;Technische
image_stabilizer;pim_catalog_boolean;technical;0;1;;;;;;;;;;;;;;;;;;9;0;0;Bildstabilisator;"Image stabilizer";"Stabilisateur d'image";;;;;0;Technical;Technique;Technische
iso_sensitivity;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;35;0;0;"Iso sensitivity";"Iso sensitivity";"Iso sensitivity";;;;;0;Technical;Technique;Technische
iso_sensitivity_max;pim_catalog_number;technical;0;1;;;;;;;;;;;;;;;;;;40;0;0;"ISO sensitivity (max)";"ISO sensitivity (max)";"ISO sensitivity (max)";;;;;0;Technical;Technique;Technische
iso_sensitivity_min;pim_catalog_number;technical;0;1;;;;;;;;;;;;;;;;;;41;0;0;"ISO sensitivity (min)";"ISO sensitivity (min)";"ISO sensitivity (min)";;;;;0;Technical;Technique;Technische
keywords;pim_catalog_textarea;ecommerce;0;1;;;;;;;;;;;;;;;;;;20;1;0;Keywords;Keywords;"Mots clés";;;;;0;Ecommerce;Ecommerce;Ecommerce
lens_mount_interface;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;28;0;0;"Linsen Montageanschluss";"Lens mount interface";"Monture d'objectif d'interface";;;;;0;Technical;Technique;Technische
light_exposure_corrections;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;37;0;0;"Light exposure corrections";"Light exposure corrections";"Light exposure corrections";;;;;0;Technical;Technique;Technische
light_exposure_modes;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;36;1;0;"Light exposure modes";"Light exposure modes";"Light exposure modes";;;;;0;Technical;Technique;Technische
light_metering;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;38;1;0;"Light metering";"Light metering";"Light metering";;;;;0;Technical;Technique;Technische
main_color;pim_catalog_simpleselect;color;0;1;;;;;;;;;;;;;;;;;;1;0;0;Hauptfarbe;"Main color";"Couleur principale";;;;;0;Color;Couleur;Farbe
material;pim_catalog_simpleselect;product;0;1;;;;;;;;;;;;;;;;;;22;0;0;Material;Material;Matière;;;;;0;Product;Produit;Product
max_image_resolution;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;24;0;0;"Maximale Bildauflösung";"Maximum image resolution";"Résolution maximum";;;;;0;Technical;Technique;Technische
maximum_frame_rate;pim_catalog_number;technical;0;1;;;;;;;;;;;;;;;;;;15;0;0;"Maximale Bildfrequenz";"Maximum frame rate";"Cadence maximale";;;;;0;Technical;Technique;Technische
maximum_print_size;pim_catalog_simpleselect;technical;0;1;;;;;;;;;;;;;;;;;;5;0;0;"Maximale Druckgröße";"Maximum print size";"Format d’impression maximale";;;;;0;Technical;Technique;Technische
maximum_scan_size;pim_catalog_metric;technical;0;1;;Length;MILLIMETER;;;;;;;;;;;;;;;2;0;0;"Maximale Scan-Abmessung";"Maximum scan size";"Surface maximal de numérisation";;;;;0;Technical;Technique;Technische
maximum_video_resolution;pim_catalog_simpleselect;technical;0;1;;;;;;;;;;;;;;;;;;14;0;0;"Maximale Video-Auflösung";"Maximum video resolution";"Résolution vidéo maximale";;;;;0;Technical;Technique;Technische
meta_description;pim_catalog_textarea;ecommerce;0;1;;;;;;;;;;;;;;;;;;10;1;0;"Meta description";"Meta description";"Meta description";;;;;0;Ecommerce;Ecommerce;Ecommerce
